,time,activity (Hz) pop_A,activity (Hz) pop_B
0,0.0,0.0,0.0
1,10.0,0.0,0.0
2,20.0,0.0,0.0
3,30.0,0.0,0.0
4,40.0,0.0,0.0
5,50.0,0.0,0.0
6,60.0,0.5,0.0
7,70.0,0.0,0.5
8,80.0,0.5,0.5
9,90.0,2.0,0.0
10,100.0,5.5,2.5
11,110.0,3.0,1.5
12,120.0,5.0,3.0
13,130.0,4.5,2.5
14,140.0,4.5,4.5
15,150.0,6.500000000000001,5.5
16,160.0,6.500000000000001,3.5000000000000004
17,170.0,5.0,6.0
18,180.0,7.5,5.0
19,190.0,9.5,6.500000000000001
20,200.0,6.0,4.5
21,210.0,8.0,7.000000000000001
22,220.0,6.500000000000001,5.0
23,230.0,8.5,3.5000000000000004
24,240.0,13.000000000000002,5.5
25,250.0,7.000000000000001,4.5
26,260.0,7.5,5.0
27,270.0,11.5,8.5
28,280.0,8.5,4.0
29,290.0,13.500000000000002,2.0
30,300.0,13.000000000000002,5.0
31,310.0,13.500000000000002,3.5000000000000004
32,320.0,8.0,2.0
33,330.0,15.0,5.0
34,340.0,5.0,2.5
35,350.0,12.0,3.5000000000000004
36,360.0,13.000000000000002,5.0
37,370.0,15.0,2.5
38,380.0,19.5,5.0
39,390.0,5.0,1.5
40,400.0,9.5,2.5
41,410.0,21.5,2.5
42,420.0,14.000000000000002,3.0
43,430.0,14.000000000000002,2.0
44,440.0,14.499999999999998,1.5
45,450.0,16.0,3.0
46,460.0,20.499999999999996,3.0
47,470.0,15.5,2.5
48,480.0,22.0,1.5
49,490.0,13.500000000000002,1.5
50,500.0,21.5,2.0
51,510.0,16.0,2.5
52,520.0,14.000000000000002,1.0
53,530.0,23.0,1.0
54,540.0,23.5,1.0
55,550.0,10.0,0.0
56,560.0,24.5,1.5
57,570.0,20.499999999999996,0.0
58,580.0,28.000000000000004,1.0
59,590.0,15.0,0.5
60,600.0,18.5,0.0
61,610.0,28.000000000000004,0.5
62,620.0,14.499999999999998,0.0
63,630.0,35.5,0.5
64,640.0,9.0,0.0
65,650.0,32.5,0.0
66,660.0,17.0,0.0
67,670.0,23.5,0.0
