,ID neuron pop_A,event time pop_A
0,276,65.6
1,423,86.3
2,519,92.2
3,570,95.8
4,439,98.10000000000001
5,585,98.7
6,460,100.8
7,31,102.8
8,651,103.9
9,445,104.3
10,162,105.4
11,747,105.7
12,288,106.2
13,534,106.9
14,140,109.5
15,584,109.60000000000001
16,514,111.4
17,482,116.9
18,211,120.10000000000001
19,154,120.60000000000001
20,210,123.10000000000001
21,750,123.3
22,131,124.4
23,612,125.2
24,452,125.5
25,69,126.10000000000001
26,436,126.4
27,781,126.9
28,52,130.3
29,107,131.3
30,29,131.8
31,698,136.5
32,581,137.9
33,740,139.3
34,168,139.9
35,24,140.4
36,326,140.5
37,694,146.6
38,15,147.6
39,434,148.8
40,590,148.8
41,414,149.5
42,80,150.4
43,111,151.9
44,520,153.6
45,206,157.20000000000002
46,681,157.3
47,67,158.0
48,370,159.70000000000002
49,507,160.20000000000002
50,548,160.20000000000002
51,66,160.5
52,786,160.5
53,38,161.9
54,538,161.9
55,610,162.3
56,212,166.0
57,646,166.4
58,30,167.6
59,729,167.6
60,395,167.9
61,634,169.70000000000002
62,521,170.4
63,299,171.6
64,517,172.0
65,762,172.9
66,292,173.0
67,17,173.70000000000002
68,26,174.0
69,595,174.0
70,106,175.5
71,490,176.6
72,188,177.0
73,502,178.3
74,642,178.4
75,609,182.1
76,389,183.20000000000002
77,725,184.3
78,525,184.4
79,87,184.6
80,385,184.6
81,444,185.4
82,625,186.20000000000002
83,124,186.70000000000002
84,267,187.0
85,504,187.0
86,179,187.6
87,332,188.0
88,598,188.1
89,273,188.3
90,563,188.9
91,64,189.20000000000002
92,279,189.20000000000002
93,74,190.3
94,11,190.5
95,674,191.20000000000002
96,172,192.8
97,398,192.9
98,582,192.9
99,216,193.4
100,353,194.3
101,24,194.5
102,492,194.6
103,758,196.0
104,716,197.1
105,728,197.8
106,280,198.6
107,770,199.20000000000002
108,488,200.70000000000002
109,552,200.9
110,282,202.3
111,484,203.70000000000002
112,265,205.9
113,799,206.70000000000002
114,91,207.6
115,591,207.70000000000002
116,749,209.3
117,148,209.5
118,360,211.3
119,136,215.0
120,65,216.3
121,784,216.5
122,313,216.6
123,415,216.6
124,456,217.4
125,298,218.1
126,764,218.1
127,422,218.20000000000002
128,278,219.6
129,390,220.0
130,123,221.0
131,483,221.5
132,671,224.0
133,419,225.0
134,235,225.70000000000002
135,722,227.5
136,211,228.0
137,725,228.0
138,561,228.70000000000002
139,587,231.70000000000002
140,92,232.3
141,224,233.6
142,234,235.5
143,728,236.3
144,98,236.4
145,500,237.5
146,445,238.0
147,672,238.0
148,94,238.3
149,590,238.70000000000002
150,534,238.8
151,251,239.8
152,82,240.5
153,405,241.1
154,444,241.20000000000002
155,292,242.20000000000002
156,212,242.6
157,188,242.8
158,275,243.0
159,586,243.5
160,777,243.6
161,227,245.4
162,337,246.70000000000002
163,606,246.9
164,102,247.4
165,592,248.20000000000002
166,249,248.5
167,187,248.9
168,697,248.9
169,666,249.5
170,733,249.8
171,115,250.4
172,751,251.1
173,383,251.4
174,65,252.3
175,505,253.3
176,646,257.2
177,353,261.1
178,268,262.1
179,447,262.1
