,time,activity (Hz) pop_A,activity (Hz) pop_B
0,0.0,0.0,0.0
1,10.0,0.0,0.0
2,20.0,0.0,0.0
3,30.0,0.0,0.0
4,40.0,0.0,0.0
5,50.0,0.0,0.0
6,60.0,0.5,0.0
7,70.0,0.0,0.0
8,80.0,1.0,0.5
9,90.0,2.0,0.5
10,100.0,5.0,3.5000000000000004
11,110.0,3.0,4.0
12,120.0,4.5,10.0
13,130.0,3.0,6.0
14,140.0,3.0,12.0
15,150.0,3.0,11.5
16,160.0,4.5,14.499999999999998
17,170.0,3.5000000000000004,11.5
18,180.0,3.0,14.499999999999998
19,190.0,3.5000000000000004,13.000000000000002
20,200.0,1.5,6.0
21,210.0,0.5,9.5
22,220.0,3.0,6.0
23,230.0,2.5,8.0
24,240.0,4.0,14.000000000000002
25,250.0,2.5,11.5
26,260.0,0.5,12.0
27,270.0,2.0,26.000000000000004
28,280.0,0.5,13.500000000000002
29,290.0,1.0,13.500000000000002
30,300.0,2.5,28.999999999999996
31,310.0,0.0,4.5
32,320.0,0.5,14.000000000000002
33,330.0,0.0,28.499999999999996
34,340.0,1.0,4.0
35,350.0,1.0,31.0
36,360.0,0.0,6.0
37,370.0,0.0,19.0
38,380.0,1.0,30.5
39,390.0,0.0,11.5
40,400.0,2.0,23.0
41,410.0,0.5,10.0
42,420.0,1.0,15.5
43,430.0,2.0,23.5
44,440.0,0.5,28.000000000000004
45,450.0,0.0,12.0
46,460.0,0.5,42.49999999999999
47,470.0,0.0,7.000000000000001
48,480.0,0.0,29.5
49,490.0,0.0,15.5
50,500.0,0.5,24.5
51,510.0,0.5,26.000000000000004
52,520.0,0.0,25.0
53,530.0,0.0,15.5
54,540.0,0.5,20.499999999999996
55,550.0,0.5,24.0
56,560.0,0.0,26.000000000000004
57,570.0,0.0,19.5
58,580.0,0.0,30.5
59,590.0,0.0,20.0
60,600.0,0.0,12.0
61,610.0,0.0,43.5
62,620.0,0.0,5.5
63,630.0,0.0,46.5
64,640.0,0.0,12.0
65,650.0,0.0,20.499999999999996
66,660.0,0.0,28.499999999999996
67,670.0,0.0,33.0
68,680.0,0.0,9.5
